	Manufacturer	Model	Application(s)	Thrust (dry) [lbf]	Thrust (wet) [lbf]	SFC (dry) [lb/lbf hr]	SFC (wet) [lb/lbf hr]	Airflow (static) [lb/s]	OPR (static)	FPR (static)	BPR (static)	Thrust (cruise) [lbf]	SFC (cruise) [lb/lbf hr]	Cruise Speed [Mach]	Cruise Altitude [ft]	TIT [K]	Number Spools	Fan Stages	LPC Stages	HPC Stages	HPT Stages	IPT Stages	LPT Stages	Fan Diameter [in]	Length [in]	Width/Diameter [in]	Dry Weight [lb]
0	ACEA	CJ-500	ARJ21 (proposed)	18,000													2	1	4	10	2		7				
1	ACEA	CJ-1000A	C919 (proposed)	28,200													2	1	3	10	2		6				
2	ACEA	CJ-1000B	C919 (proposed)	29,500													2	1	3	10	2		6				
3	ACEA	CJ-2000	C929 (proposed)	78,000													2	1	4	10	2		7				
4	Agilis Engines	TF800		800																							
5	Agilis Engines	TF1000	"S-26 Safire (not
  produced)"	1,000		0.4						270	0.64	0.6	30,000										56	23	285
6	Agilis Engines	TF1200		1,288		0.41						400	0.66	0.6	30,000										56	23	285
7	Agilis Engines	TF1400		1,400		0.41						400	0.66	0.6	30,000										56	23	300
8	Agilis Engines	TF1500		1,500		0.41						397	0.68	0.6	30,000										56	23	300
9	Agilis Engines	TJ60		60		1.24						30	1.5	0.9	20,000										13.5	5	9
10	Agilis Engines	TJ75		75		1.24						48	1.5	0.9	20,000										13.5	7	10
11	Agilis Engines	TJ80		72		1.24						48	1.5	0.9	20,000										13.5	5	9
12	Agilis Engines	TJ400		403		0.9																			30	15	136
13	AlliedSignal (Honeywell)	AS905	"Falcon 7X (candidate
  engine)"																								
14	AlliedSignal (Honeywell)	AS907-1-1A	Challenger 300	6,944		0.42			21		4.5						2	1	4B	1C	2		3	34.2	92.4	46.3	1,534
15	AlliedSignal (Honeywell)	AS907-2-1A	Challenger 300	7,530							4.5						2	1	4B	1C	2		3	34.2	92.4	46.3	1,534
16	AlliedSignal (Honeywell)	AS907-2-1G	G280	7,765							4.5						2	1	4B	1C	2		3	34.2	92.4	46.3	1,534
17	AlliedSignal (Honeywell)	AS907-2-1S	Citation Longitude	7,550							4.5						2	1	4B	1C	2		3	34.2	92.4	46.3	1,534
18	AlliedSignal (Honeywell)	AS907-3-1E	"Legacy 450/500,
  Praetor 500/600"	7,638							4.5						2	1	4B	1C	2		3	34.2	92.4	46.3	1,514
19	AlliedSignal (Honeywell)	AS977-1A	"RJX-70/-85/-100/-115,
  SL-100 (not produced)"	7,100		0.416			23		4.5						2	1	4B	1C	2		3	34.2	92.4	49.9	1,364
20	Allison (Rolls-Royce)	AE3007A	"ERJ-135ER,
  ERJ-145/EP/ER/EU"	7,580		0.36		294	24		5.3						2	1		14	3		2	38.5	115.1	55.7	1,615
21	Allison (Rolls-Royce)	AE3007A1	"ERJ-135ER,
  ERJ-145EP/ER/EU/LR/LU/MK/MP/MR"	7,580		0.36		294	24		5.3						2	1		14	3		2	38.5	115.1	55.7	1,625
22	Allison (Rolls-Royce)	AE3007A1P	"ERJ-145EP/ER/EU/LR/LU/MK/MP/MR,
  Legacy 600"	8,338							5.3						2	1		14	3		2	38.5	115.1	55.7	1,657
23	Allison (Rolls-Royce)	AE3007A1/1	"ERJ-135ER/LR,
  ERJ-145EP/ER/EU/LR/LU/MK/MP/MR"	7,580							5.3						2	1		14	3		2	38.5	115.1	55.7	1,625
24	Allison (Rolls-Royce)	AE3007A1/2	ERJ-145EP/ER/EU/LR/LU/MK/MP/MR	7,580							5.3						2	1		14	3		2	38.5	115.1	55.7	1,625
25	Allison (Rolls-Royce)	AE3007A1/3	"ERJ-135ER/KE/KL/LR,
  ERJ-140"	7,580							5.3						2	1		14	3		2	38.5	115.1	55.7	1,625
26	Allison (Rolls-Royce)	AE3007A1E	"ERJ-135BJ,
  ERJ-145XR, Legacy 600"	8,895													2	1		14	3		2	38.5	115.1	55.7	1,657
27	Allison (Rolls-Royce)	AE3007A2	Legacy 650	9,278													2	1		14	3		2	38.5	115.1	55.7	1,681
