"index","importance","stddev","p_value","n","p99_high","p99_low"
"wtc","32594.623101485166","0","0","1","0","0"
"airline_aircraft","8787.871688871492","0","0","1","0","0"
"route","1725.0387478941407","0","0","1","0","0"
"max_fuel_structural","1176.8136033420046","0","0","1","0","0"
"MLW","965.1176766721997","0","0","1","0","0"
"aircraft_type","650.7247158656564","0","0","1","0","0"
"zfw_to_mtow_ratio","572.799747882073","0","0","1","0","0"
"openap_mmo","454.14500014795294","0","0","1","0","0"
"MTOW","409.9349764764488","0","0","1","0","0"
"distance_to_range_ratio","381.5750196147078","0","0","1","0","0"
"openap_wing.t/c","370.80670920260036","0","0","1","0","0"
"mlw_to_mtow_ratio","333.8214656507039","0","0","1","0","0"
"altitude_ratio","330.7484319605437","0","0","1","0","0"
"callsign","311.1621637169692","0","0","1","0","0"
"openap_engine.default","273.8586864890308","0","0","1","0","0"
"openap_mtow","230.0395569317011","0","0","1","0","0"
"openap_wing.mac","206.99946859146257","0","0","1","0","0"
"openap_oew","178.60295816004555","0","0","1","0","0"
"flight_duration","176.88557147352367","0","0","1","0","0"
"Seats Economy_Comfort_Class","165.55815263821341","0","0","1","0","0"
"cruise_fuel_flow_calculated","145.0192785430936","0","0","1","0","0"
"openap_pax.low","142.40510438302863","0","0","1","0","0"
"flown_distance","136.9828828337586","0","0","1","0","0"
"distance_vs_ceiling","131.417190240355","0","0","1","0","0"
"cruise_altitude","128.86129076387124","0","0","1","0","0"
"tight_turnaround","127.6987991396436","0","0","1","0","0"
"openap_mlw","125.8270030151034","0","0","1","0","0"
"route_distance_mi","121.31101764856658","0","0","1","0","0"
"openap_mfc","120.92311903755399","0","0","1","0","0"
"openap_flaps.area","120.48921408377373","0","0","1","0","0"
"openap_fuselage.length","120.10986760414289","0","0","1","0","0"
"openap_fuselage.width","116.72776611678","0","0","1","0","0"
"air_time_hours","95.92774070320684","0","0","1","0","0"
"route_complexity","95.90520187117636","0","0","1","0","0"
"route_distance_km","90.87392505158141","0","0","1","0","0"
"openap_cruise.mach","85.9627192582202","0","0","1","0","0"
"ramp_to_ramp_hours","84.63196915635808","0","0","1","0","0"
"openap_wing.span","81.24832449156747","0","0","1","0","0"
"openap_vmo","76.47341795012744","0","0","1","0","0"
"fuel_range_factor","75.46580790579719","0","0","1","0","0"
"openap_wing.area","73.27843940107505","0","0","1","0","0"
"initclimb_max_climb","69.59420858970498","0","0","1","0","0"
"openap_ei_co_idl","68.80346016118528","0","0","1","0","0"
"is_hub_route","67.99448672048493","0","0","1","0","0"
"openap_pax.high","56.96522340412821","0","0","1","0","0"
"ades","54.265343371944255","0","0","1","0","0"
"is_long_distance_flight","53.08175029808126","0","0","1","0","0"
"ades_city","46.69526149168814","0","0","1","0","0"
"adep","42.03957277783866","0","0","1","0","0"
"openap_pax.max","39.54322848687434","0","0","1","0","0"
"openap_drag.e","38.99392284221494","0","0","1","0","0"
"adep_city","34.981498448803904","0","0","1","0","0"
"wing_loading_capacity","34.22373702276582","0","0","1","0","0"
"openap_fuel_c3","31.87216614956924","0","0","1","0","0"
"Service Ceiling(ft)","31.351930990128494","0","0","1","0","0"
"openap_cruise.height","30.635626748953655","0","0","1","0","0"
"openap_ff_idl","29.235309629505082","0","0","1","0","0"
"track_distance_m","27.90703803994711","0","0","1","0","0"
"v2_speed_kt","27.72575184759262","0","0","1","0","0"
"adep_region","27.01334452002675","0","0","1","0","0"
"total_thrust_capacity","24.26868392780534","0","0","1","0","0"
"arrival_time","23.64080653097244","0","0","1","0","0"
"ZFW","23.547382072914843","0","0","1","0","0"
"runway_adep_le_displaced_threshold_ft","23.114250526759406","0","0","1","0","0"
"openap_wing.sweep","23.06622279147723","0","0","1","0","0"
"openap_drag.k","22.204191901138074","0","0","1","0","0"
"Seats First_Class","22.151116248348444","0","0","1","0","0"
"airline","20.514855477269975","0","0","1","0","0"
"potential_energy_factor","19.988743926657207","0","0","1","0","0"
"onblock_time","19.827837206375534","0","0","1","0","0"
"ades_region","19.774880527862933","0","0","1","0","0"
"openap_flaps.lambda_f","18.443165574451996","0","0","1","0","0"
"takeoff_time","17.96399526166124","0","0","1","0","0"
"openap_ei_co_to","17.76684318297157","0","0","1","0","0"
"is_business_hour","16.84563064494796","0","0","1","0","0"
"is_EU_internal","16.482999065675813","0","0","1","0","0"
"Seats Total","14.650948662846986","0","0","1","0","0"
"Fuel Flow","14.288413329106788","0","0","1","0","0"
"valid","13.271265010429943","0","0","1","0","0"
"thrust_drag_ratio","12.989714847421965","0","0","1","0","0"
"Fuel Capacity","12.976614691565828","0","0","1","0","0"
"openap_fuselage.height","12.911393205280547","0","0","1","0","0"
"openap_ff_app","12.578959969241623","0","0","1","0","0"
"actual_offblock_time","12.075663607372462","0","0","1","0","0"
"openap_ff_co","11.912852802272027","0","0","1","0","0"
"max_payload_structural","10.5051409675566","0","0","1","0","0"
"openap_fuel_a","10.129698014567111","0","0","1","0","0"
"is_international","9.902897397319066","0","0","1","0","0"
"openap_ff_to","9.675847386639362","0","0","1","0","0"
"Range(nm)","9.624227917970074","0","0","1","0","0"
"openap_max_thrust","9.438928633856449","0","0","1","0","0"
